epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6294.78,0.56263,0.35853,0.82636,0.95987,0.9726,0.9893,0.84531,0.58105,0.35061,0.81831,0.0011882,0.0011882,0.0011882
43,6447.43,0.56454,0.35515,0.82435,0.98251,0.96575,0.99213,0.86549,0.55423,0.33736,0.81339,0.0011684,0.0011684,0.0011684
44,6597.2,0.56316,0.35643,0.8245,0.9683,0.97646,0.99238,0.87166,0.54742,0.33314,0.81356,0.0011486,0.0011486,0.0011486
45,6746.1,0.57026,0.35369,0.82348,0.96996,0.97489,0.99213,0.85701,0.56559,0.32844,0.81237,0.0011288,0.0011288,0.0011288
46,6893.1,0.55013,0.34675,0.82027,0.97676,0.95955,0.99144,0.86735,0.53482,0.323,0.8102,0.001109,0.001109,0.001109
47,7040.85,0.5652,0.35295,0.82534,0.97367,0.97032,0.99199,0.85494,0.58049,0.34195,0.81549,0.0010892,0.0010892,0.0010892
48,7187.08,0.56738,0.3503,0.82333,0.96834,0.96575,0.99169,0.8543,0.54992,0.33489,0.81214,0.0010694,0.0010694,0.0010694
49,7338.54,0.54256,0.34689,0.82657,0.97745,0.9726,0.99222,0.85389,0.5546,0.32164,0.8089,0.0010496,0.0010496,0.0010496
50,7489.22,0.54727,0.34357,0.8213,0.96333,0.98174,0.99236,0.85778,0.53186,0.31286,0.80765,0.0010298,0.0010298,0.0010298
51,7637.52,0.53876,0.33698,0.82075,0.97706,0.97235,0.99248,0.87405,0.51965,0.30703,0.80816,0.00101,0.00101,0.00101
52,7782.77,0.5412,0.33122,0.82456,0.96996,0.97945,0.99246,0.86367,0.5393,0.30856,0.81321,0.0009902,0.0009902,0.0009902
53,7930.36,0.54763,0.3352,0.82444,0.97715,0.97638,0.99103,0.85695,0.55467,0.32821,0.80755,0.0009704,0.0009704,0.0009704
54,8072.7,0.53687,0.33327,0.82086,0.98618,0.97765,0.99341,0.85485,0.54165,0.3122,0.81042,0.0009506,0.0009506,0.0009506
55,8217.88,0.52058,0.3203,0.82081,0.98362,0.96575,0.9926,0.87362,0.54062,0.30396,0.80819,0.0009308,0.0009308,0.0009308
56,8369.63,0.53084,0.32729,0.81955,0.98195,0.96804,0.99322,0.86278,0.53689,0.30732,0.8093,0.000911,0.000911,0.000911
57,8514.14,0.52043,0.32516,0.82081,0.98601,0.96557,0.99292,0.86902,0.53187,0.30949,0.80712,0.0008912,0.0008912,0.0008912
58,8658.9,0.5221,0.32584,0.82021,0.97653,0.96119,0.99144,0.85987,0.5348,0.31217,0.80659,0.0008714,0.0008714,0.0008714
59,8811.09,0.51814,0.3263,0.82131,0.98375,0.96742,0.99291,0.86941,0.53581,0.30459,0.80654,0.0008516,0.0008516,0.0008516
60,8954.22,0.51224,0.31675,0.81901,0.9859,0.96804,0.99264,0.87419,0.51816,0.29471,0.80442,0.0008318,0.0008318,0.0008318
61,9101.29,0.52729,0.32653,0.82614,0.98374,0.96675,0.99217,0.85463,0.56575,0.31676,0.80822,0.000812,0.000812,0.000812
62,9246.15,0.52667,0.3208,0.81794,0.96836,0.9781,0.99271,0.87301,0.51383,0.29706,0.80632,0.0007922,0.0007922,0.0007922
63,9395.33,0.51571,0.31582,0.81912,0.97826,0.97717,0.99119,0.86364,0.53017,0.30336,0.80489,0.0007724,0.0007724,0.0007724
64,9539.57,0.52078,0.32106,0.82153,0.98112,0.97489,0.99277,0.86887,0.51023,0.30095,0.80374,0.0007526,0.0007526,0.0007526
65,9681.78,0.52017,0.31578,0.81323,0.98693,0.97032,0.99349,0.86991,0.51759,0.29483,0.80567,0.0007328,0.0007328,0.0007328
66,9819.72,0.50326,0.31084,0.81777,0.97528,0.97717,0.99326,0.87211,0.52233,0.29305,0.8061,0.000713,0.000713,0.000713
67,9964.45,0.51729,0.3148,0.82059,0.97936,0.97505,0.99339,0.86624,0.51992,0.29599,0.8038,0.0006932,0.0006932,0.0006932
68,10106.7,0.51006,0.30925,0.81549,0.98743,0.96804,0.99341,0.87086,0.52827,0.29144,0.80526,0.0006734,0.0006734,0.0006734
69,10251.5,0.49673,0.30141,0.81573,0.98612,0.9729,0.99314,0.88038,0.50089,0.27981,0.80396,0.0006536,0.0006536,0.0006536
70,10392.6,0.50627,0.30592,0.81571,0.97943,0.98174,0.99321,0.87926,0.52344,0.29308,0.805,0.0006338,0.0006338,0.0006338
71,10539.9,0.50046,0.3075,0.81544,0.98391,0.97699,0.99329,0.87517,0.50907,0.28267,0.80396,0.000614,0.000614,0.000614
